Date (DD/MM/YY),Time,Recorder,Specimen ID,Longitude,Latitude,Fokontany / PN,Species,Altitude (m),Circumference of trunk (m),Height (m),Height approximated? (Y/N),Soil,Surrounding vegetation,Bark stripping (Y/N),Bark stripping observations,Bark stripping factor,Bark etchings,Footholds,Marary (Y/N),Marary observations,Marary factor,Leaves (Y/N),Flowers (Y/N),Fruit (Y/N),Near village?,Near cliff face?,Near other baobabs?,Hollow trunk?,Notes
28/06/23,3:59 PM,KVP,KMEAS1,-22.04864,43.26512,Andavadoaka,grandidieri,8,13.26,4.93,N,"rocky, sandy",dry brush,Y,not much,1,NA,Y,NA,NA,NA,N,N,N,N,N,Y,N,might have no fungus (not explicitly written as healthy or sick)
28/06/23,3:56 PM,KVP,KBUNCH,-22.04866,43.26528,Andavadoaka,grandidieri,-9,NA,NA,NA,"rocky, sandy",dry brush,NA,NA,NA,NA,NA,Y,extensive,3,N,N,N,N,N,Y,N,dubious altitude because other altitudes for nearby trees are all positive; told by MAP Team that tree will die soon - bark brittle
28/06/23,4:08 PM,KVP,KB2,-22.04804,43.26511,Andavadoaka,grandidieri,10,13.57,6.85,N,"rocky, sandy",dry brush,Y,some,1,NA,NA,Y,small,1,N,N,N,N,N,Y,N,
28/06/23,4:17 PM,KVP,KB3,-22.0472,43.26616,Andavadoaka,grandidieri,8,15.37,7.4,N,"rocky, sandy",dry brush,Y,1/2 of trunk,3,NA,NA,NA,NA,NA,N,N,N,N,N,Y,N,might have no fungus (not explicitly written as healthy or sick); big zebu poops near tree
28/06/23,4:23 PM,KVP,KB4,-22.04704,43.26617,Andavadoaka,grandidieri,7,13.96,7.52,N,"rocky, sandy",dry brush,Y,"all around trunk, patch about 1.3m in height",3,NA,NA,Y,small mark,1,N,N,N,N,N,Y,N,
28/06/23,4:29 PM,KVP,KB5,-22.04677,43.26597,Andavadoaka,grandidieri,7,7.38,4.68,N,"rocky, sandy",dry brush,Y,1/5 of trunk,2,NA,NA,Y,all down the trunk,3,N,N,N,N,N,Y,N,
28/06/23,NA,KVP,NA - Andava,NA,NA,Andavadoaka,grandidieri,NA,NA,NA,NA,"rocky, sandy",dry brush,NA,NA,NA,NA,NA,Y,NA,NA,N,N,N,N,N,Y,N,recorded as a note -- within sightline of KB5 but not properly surveyed
30/06/23,3:48 PM,KVP,NS1,-22.03535,43.26354,Andavadoaka,grandidieri,7,6.6,5.4,Y,"rocky (limestone, quartz), dirt, fine sand","dry brush, sono",Y,1/6 or less of trunk,1,NA,NA,Y,little,1,N,N,N,N,N,N,N,"approx height is recorded as ""2.7 of Mika height"" (Mika height is 2m since it was observed with his arm raised)"
30/06/23,4:06 PM,KVP,NS2,-22.03493,43.264,Andavadoaka,grandidieri,9,10.1,5,Y,"rocky (limestone, quartz), dirt, fine sand","sono, laro, nonoka",Y,ring along bottom (1/3 of trunk),2,NA,NA,Y,kely,1,N,N,N,N,N,Y,N,
30/06/23,4:19 PM,KVP,NS3,-22.03488,43.26409,Andavadoaka,grandidieri,8,7.65,4.5,Y,"rocky (limestone, quartz), dirt, fine sand","sono, laro, nonoka",Y,1/2 trunk,3,NA,NA,Y,kely,1,N,N,N,N,N,Y,N,fallen branches on ground (kicked down by people)
30/06/23,4:26 PM,KVP,NS4,-22.03478,43.26422,Andavadoaka,grandidieri,7,7.72,4,Y,"rocky (limestone, quartz), dirt, fine sand","sono, laro, nonoka",NA,NA,NA,NA,NA,N,NA,0,N,N,N,N,N,Y,N,"core easy, water dripped from core hole, no resistance, very wet core; branches on ground"
30/06/23,4:49 PM,KVP,NS5,-22.03466,43.26426,Andavadoaka,grandidieri,NA,5.7,5,Y,"rocky (limestone, quartz), dirt, fine sand","sono, laro, nonoka, komokomoke",Y,1/3 of trunk,2,NA,NA,Y,NA,2,N,N,N,N,N,Y,N,
30/06/23,4:55 PM,KVP,NS6,-22.03471,43.26432,Andavadoaka,grandidieri,7,8.95,5,Y,"rocky (limestone, quartz), dirt, fine sand","sono, laro, nonoka, komokomoke",Y,NA,NA,NA,NA,Y,NA,2,N,N,N,N,N,Y,N,
30/06/23,NA,KVP,NA - NS,NA,NA,Andavadoaka,grandidieri,NA,NA,NA,NA,"rocky (limestone, quartz), dirt, fine sand",NA,Y,NA,NA,NA,NA,Y,NA,2,N,N,N,N,N,NA,N,recorded as a note -- around the NS area but not properly surveyed
03/07/23,9:22 AM,KVP,AMB1,-22.07881,43.27221,Ambalorao,grandidieri,9,8.4,5.7,N,rocky (rockier than Andava),"bozake, sono, voafotaky, famata, tapisaky, satsasatsa",N,NA,0,NA,NA,Y,NA,2,N,N,N,N,N,Y,N,"pockmarked tree trunk, red-brown bark"
03/07/23,NA,KVP,AMB2,-22.0787,43.27221,Ambalorao,grandidieri,9,3,4.7,N,"rocky, thin soil horizon","famata, maintimpo",NA,NA,NA,NA,NA,N,NA,0,N,N,N,N,N,Y,N,time recorded sometime between 9:22 and 10:37 AM
03/07/23,10:37 AM,KVP,AMB3,-22.07949,43.27256,Ambalorao,grandidieri,5,5.45,4.9,N,"limestone, rocky (same as other AMB)","anakarake, sasave, famata, maintimpo",Y,NA,NA,NA,NA,N,NA,0,N,N,N,N,N,Y,N,"branches cut off by people, light brown red bark"
03/07/23,11:34 AM,KVP,AMB4,-22.0798,43.2725,Ambalorao,grandidieri,2,4.6,4.28,N,"limestone, rocky (same as other AMB)","tapisaky, sono, nonokalika, famata",Y,light (patches),1,NA,NA,N,NA,0,N,N,N,N,N,Y,N,famata is growing inside
03/07/23,11:37 AM,KVP,AMB5,-22.07992,43.27245,Ambalorao,grandidieri,3,4.9,4.16,N,"limestone, rocky (same as other AMB)","famata, sasave, anakarake, fandrehosy, vantango",Y,patches,1,NA,NA,Y,all over bark,3,N,N,N,N,N,Y,N,"tree observation says ""no stem"" (not sure what that means)"
03/07/23,11:48 AM,KVP,AMB6,-22.07984,43.2722,Ambalorao,grandidieri,-1,7.14,3.5,N,"limestone, rocky (same as other AMB)","nonoke, vantango, sasave, vafotaky, hazamafinto",N,NA,0,NA,NA,N,NA,0,N,N,N,N,N,Y,N,"experimented on by Japanese researchers (specimen A87 painted on the bark), grey bark, right next to AMB7 (related?)"
03/07/23,NA,KVP,NA - AMB MATY1,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,"limestone, rocky (same as other AMB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen while walking around AMB1 - AMB6"
03/07/23,NA,KVP,NA - AMB MATY2,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,"limestone, rocky (same as other AMB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen while walking around AMB1 - AMB6"
03/07/23,11:56 AM,KVP,AMB7,-22.07984,43.27216,Ambalorao,grandidieri,1,2.96,3.65,N,"limestone, rocky (same as other AMB)","nonoke, vantango, sasave, vafotaky, hazamafinto, matsake",NA,NA,NA,NA,NA,N,NA,0,N,N,N,N,N,Y,N,"right next to AMB6 (related?), nearby zebu poops"
03/07/23,12:49 PM,KVP,AMB8,-22.07968,43.27216,Ambalorao,grandidieri,10,6.12,4,N,"limestone, rocky (same as other AMB)","vantango, nonokalika, matsake, zaha",Y,"large chunks, 1/2 of trunk",3,NA,NA,N,NA,0,N,N,N,N,N,Y,N,reddish grey bark
03/07/23,1:01 PM,KVP,AMB9,-22.07923,43.272,Ambalorao,grandidieri,1,6.5,4.2,N,"limestone, rocky (same as other AMB)","vantango, famata, matsake, maintimpo",Y,thin/small,1,NA,NA,Y,prevalent,3,N,N,N,N,N,Y,N,red bark
03/07/23,1:22 PM,KVP,AMB10,-22.0789,43.27452,Ambalorao,grandidieri,5,6.79,7,Y,"limestone, rocky (same as other AMB)","kily, laro, famonty, sasave, lombiry",Y,"small bark missing on top, larger chunks missing on bottom",2,NA,Y,N,NA,0,N,N,N,N,N,Y,N,"brown-red, our height rock got stuck on this tree!"
03/07/23,2:15 PM,KVP,AMB11,-22.07883,43.27464,Ambalorao,grandidieri,-1,6.9,6,Y,"limestone, rocky (same as other AMB)","sono, laro, bozake, hazondrano",N,NA,0,NA,Y,Y,lots on one side of trunk,3,N,N,N,N,N,Y,N,lichen on nearby sono
03/07/23,2:27 PM,KVP,AMB12,-22.0785,43.27467,Ambalorao,grandidieri,3,4.03,3.37,N,"limestone, rocky (same as other AMB)","famata, vantango, matsake, tapisaky, nonokalika, boy",Y,kelykely,1,NA,N,N,NA,0,N,N,N,N,N,N,N,cores are taken perpendicular to each other
03/07/23,3:33 PM,KVP,AMB13,-22.07795,43.27461,Ambalorao,grandidieri,2,7,5.17,N,"limestone, rocky (same as other AMB)","komokomoke, sakoa, manoroke, sambaratoake",Y,large chunks,2,NA,Y,N,NA,0,N,N,N,N,N,NA,N,red brown bark
03/07/23,3:45 PM,KVP,AMB14,-22.07804,43.27493,Ambalorao,grandidieri,3,5.5,6.7,N,"limestone, rocky (same as other AMB)","komokomoke, manoroke, sasave",Y,NA,NA,NA,Y,N,NA,0,N,N,N,N,N,N,N,red brown bark
03/07/23,3:56 PM,KVP,AMB15,-22.07773,43.27503,Ambalorao,grandidieri,1,5.1,5.45,N,"limestone, rocky (same as other AMB)","famata, laro, komokomoke, sasave, bozake, boy, anakarake",Y,kely,1,NA,Y,N,NA,0,N,N,N,N,N,Y,N,grey bark
03/07/23,4:00 PM,KVP,AMB16,-22.07758,43.27515,Ambalorao,grandidieri,1,8.2,5.9,N,"limestone, rocky (same as other AMB)","nonoke, tapisaky, famata, matsake, sono, sasave, mananike",Y,"kely, possibly some vertical bark stripping",1,NA,Y,Y,NA,2,N,N,N,N,N,Y,N,red brown bark; lichen; area has possible eggshell (elephant bird)
03/07/23,4:12 PM,KVP,AMB17,-22.07714,43.27498,Ambalorao,grandidieri,3,6,4.6,N,"limestone, very rocky (large rocks, larger than rest of AMB)","laro, nonoke, sasave, plant that is same family as komokomoke",Y,lots (3 places that span 1/2 of trunk; deep bark stripping),3,NA,Y,N,NA,0,N,N,N,N,N,N,N,red-grey bark
03/07/23,NA,KVP,NA - AMB MATY3,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,"limestone, rocky (same as other AMB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen while walking around AMB12 - AMB17"
03/07/23,NA,KVP,NA - AMB MATY4,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,"limestone, rocky (same as other AMB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen while walking around AMB12 - AMB17"
04/07/23,8:49 AM,KVP,AMB18,-22.07602,43.27538,Ambalorao,grandidieri,9,8.26,6.2,N,rocky limestone (large chunks),"vatolalake (small with thorns), komokomoke, laro, sasave, lombiry",Y,extensive at base of trunk,3,NA,Y,N,NA,0,N,N,N,N,N,Y,N,"red bark, nearby nest on ground (but not owl), nearby branches on ground and komokomoke have lichen"
04/07/23,9:06 AM,KVP,AMB19,-22.07615,43.27543,Ambalorao,grandidieri,7,5.55,5.12,N,rocky limestone (large chunks),"sono, komokomoke, laro",Y,large gash of bark (very deep) missing from side,3,NA,Y,Y,NA,2,N,N,N,N,N,Y,N,"leaning, brown bark"
04/07/23,9:20 AM,KVP,AMB20,-22.07634,43.27521,Ambalorao,grandidieri,10,6.67,7.29,N,rocky limestone (large chunks),"komokomoke, sono, anakarake",Y,large chunks,2,Y,Y,Y,"extensive, all along the trunk",3,N,N,N,N,N,Y,N,"bird nest (not owl), brown bark"
04/07/23,9:22 AM,KVP,AMB21,-22.07646,43.27525,Ambalorao,grandidieri,10,8.25,6.28,N,rocky limestone (large chunks),"sono, komokomoke, matsake, tapisaky",Y,small chunk,1,NA,NA,N,NA,0,N,N,N,N,N,Y,N,"red brown bark, lichen on bark on side facing shade, nearby sono also has lichen"
04/07/23,9:33 AM,KVP,AMB22,-22.07639,43.27506,Ambalorao,grandidieri,6,5.1,4.4,N,rocky limestone (large chunks),"laro, matsake, tapisaky, plant in same family as komokomoke",Y,1/3 to 1/2 of trunk,3,NA,NA,N,NA,0,N,N,N,N,N,Y,N,"lichen, brown bark, has twin tree (AMB23)"
04/07/23,9:33 AM,KVP,AMB23,-22.07639,43.27506,Ambalorao,grandidieri,6,NA,4.4,"Y; similar to AMB22, maybe a little taller",rocky limestone (large chunks),"laro, matsake, tapisaky, plant in same family as komokomoke",Y,less bark stripped than AMB22,2,NA,NA,N,NA,0,N,N,N,N,N,Y,N,"has twin tree (AMB22), circumference hard to measure because of vegetation"
04/07/23,NA,KVP,NA - AMB MATY5,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,rocky limestone (large chunks),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen while walking around AMB18 - AMB23"
04/07/23,9:54 AM,KVP,AMB24,-22.07701,43.27547,Ambalorao,grandidieri,17,6.3,6.31,N,rocky limestone (large chunks),"laro, komokomoke, sasave, tapisaky, lombiry, nonokalika",Y,"some, shallow",1,Y,Y,Y,small patch,1,N,N,N,N,N,Y,N,"lichen on shady side, red brown bark, nearby fire, only near maty baobab (not alive baobabs)"
04/07/23,NA,KVP,NA - AMB MATY6,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,rocky limestone (large chunks),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen near AMB24"
04/07/23,NA,KVP,NA - AMB MATY7,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,rocky limestone (large chunks),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen near AMB24, near a past/recent fire (could tell by ashes on ground)"
04/07/23,10:55 AM,KVP,AMB25,-22.07377,43.2751,Ambalorao,grandidieri,3,10.05,6,Y,rocky limestone (large chunks),"sono, famata, komokomoke, anakarake, laro",Y,baobab trano,3,NA,Y,Y,"medium (not kely, not be)",2,N,N,N,N,N,N,Y,"people built house inside, lichen on ground, evidence of bats inside"
04/07/23,11:06 AM,KVP,AMB26,-22.07324,43.27513,Ambalorao,grandidieri,3,7.1,6.18,N,rocky limestone (large chunks),"sono, komokomoke, laro, sasave, famata, sambaratoake",Y,some,1,Y,Y,N,NA,0,N,N,N,N,N,Y,N,"nearby marine shell, associated with olo (bozike)"
04/07/23,11:13 AM,KVP,AMB27,-22.07313,43.27448,Ambalorao,grandidieri,4,9.67,6.08,N,rocky limestone (large chunks),"nonoke, matsake, laro, anakarake",N,NA,0,NA,Y,N,NA,0,N,N,N,N,N,Y,N,"brown bark, right next to ""baby"" AMB28"
04/07/23,11:13 AM,KVP,AMB28,-22.07313,43.27448,Ambalorao,grandidieri,4,4.45,3,Y,rocky limestone (large chunks),"nonoke, matsake, laro, anakarake, famata, hazombalala, tapisaky",Y,vertical bark split (looks like bark split in half),2,NA,NA,N,NA,0,N,N,N,N,N,Y,N,"""baby"" next to AMB27"
04/07/23,NA,KVP,NA - AMB MATY8,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,rocky limestone (large chunks),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen near AMB27 and AMB28"
04/07/23,11:56 AM,KVP,AMB29,-22.07286,43.27423,Ambalorao,grandidieri,1,7.4,5.65,N,rocky limestone (large chunks),"famata, komokomoke, tapisaky, nonoke, maintimpo, anakarake, sakoa",Y,"large chunk, height of 1/3 of trunk",2,NA,Y,N,NA,0,NA,NA,NA,N,N,Y,N,near dead tree (not near any alive trees)
04/07/23,NA,KVP,NA - AMB MATY9,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,rocky limestone (large chunks),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen near AMB29"
04/07/23,12:06 PM,KVP,AMB30,-22.07272,43.27443,Ambalorao,grandidieri,-2,4.8,5.25,N,rocky limestone (large chunks),"tapisaky, matsake, anakarake, famata",Y,nearly 1/2 of trunk,3,NA,Y,N,NA,0,N,N,N,N,N,Y,N,"black fungus on other tree branches nearby, only near maty baobab (not alive ones)"
04/07/23,NA,KVP,NA - AMB MATY10,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,rocky limestone (large chunks),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen near AMB30"
04/07/23,NA,KVP,NA - AMB MATY11,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,rocky limestone (large chunks),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen near AMB30, more fresh and smaller (either younger or we saw the branches instead of the trunk?)"
04/07/23,12:20 PM,KVP,AMB31,-22.07325,43.27431,Ambalorao,grandidieri,-1,8.6,6.42,N,rocky limestone (large chunks),"sono, matsake, hazombalala, tapisaky, komokomoke, manoroke, nonokalika, famata, sakoa, tiambaratoaka",N,NA,0,NA,Y,N,NA,0,N,N,N,N,N,N,N,lichen on nearby tiambaratoaka
04/07/23,12:37 PM,KVP,AMB32,-22.07352,43.27435,Ambalorao,grandidieri,3,7.16,5,N,rocky limestone (large chunks),"famata, kily, komokomoke, manoroke, matsake",N,NA,0,Y,Y,N,NA,0,N,N,N,N,N,Y,N,"carving says ""Iha valinao?"" (""Who is your spouse?""), only near maty baobab (not alive)"
04/07/23,NA,KVP,NA - AMB MATY12,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,rocky limestone (large chunks),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen near AMB32"
04/07/23,NA,KVP,NA - AMB MATY13,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,rocky limestone (large chunks),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen near AMB32, freshly dead"
04/07/23,12:46 PM,KVP,AMB33,-22.07373,43.27467,Ambalorao,grandidieri,5,5.1,4.8,N,rocky limestone (large chunks),"laro, komokomoke, sono, kily, matsake",Y,substantial chunk,2,NA,NA,N,NA,0,N,N,N,N,N,Y,N,"lichen, brown bark, only near dead baobab"
04/07/23,NA,KVP,NA - AMB MATY14,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,rocky limestone (large chunks),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen near AMB33"
04/07/23,12:53 PM,KVP,AMB34,-22.07419,43.27453,Ambalorao,grandidieri,2,7.17,5.18,N,rocky limestone (large chunks),"sono, laro, komokomoke, sasave, manoroke, zaha",Y,shallow but large (in area) chunk,2,NA,Y,Y,small patches,1,N,N,N,N,N,N,N,
04/07/23,1:17 PM,KVP,AMB35,-22.07438,43.27355,Ambalorao,grandidieri,0,6.5,5.14,N,rocky limestone (large chunks),"famata, tapisaky, kily, matsake",Y,very small,1,NA,NA,N,NA,0,N,N,N,N,N,N,N,"lichen on shade side, red brown bark"
04/07/23,2:25 PM,KVP,AMB36,-22.07894,43.27002,Ambalorao,grandidieri,0,6.77,4.7,N,"rocky limestone, dirt","komokomoke, matsake, boy, nonoke, bozake, zaha",Y,small but deep hole in trunk,2,NA,Y,N,NA,0,N,N,N,N,N,Y,N,"red brown bark, zebu in nearby shallow lake"
04/07/23,2:32 PM,KVP,AMB37,-22.079,43.27011,Ambalorao,grandidieri,4,5.25,5.04,N,"rocky limestone, dirt","talafoty (has spiny fruits), komokomoke, manoroke",Y,very little,1,Y,Y,Y,medium patch on one side of trunk,2,N,N,N,N,N,Y,N,"red brown bark, old/dead pics of flower near ground next to this tree"
04/07/23,2:40 PM,KVP,AMB38,-22.07904,43.26999,Ambalorao,grandidieri,NA,9,5.11,N,"rocky limestone, dirt","manoroke, laro, matsake, zaha, nonoke",Y,kely,1,NA,Y,Y,kely,1,N,N,N,N,N,Y,N,"reddish bark, growing right next to nonoke"
04/07/23,3:04 PM,KVP,AMB39,-22.07897,43.27062,Ambalorao,grandidieri,5,4.9,NA,NA,"rocky limestone, dirt","sasave, anakarake, nonokalika, kapikala",Y,"small (very small hole), vertical bark splits",1,NA,Y,Y,kely (or just discolored at the bottom?),1,N,N,N,N,N,Y,N,"red brown bark, lots of lichen, rock stuck on this tree (for measuring height)"
04/07/23,3:28 PM,KVP,AMB40,-22.07905,43.27053,Ambalorao,grandidieri,12,5.83,4.6,Y,"rocky limestone, dirt","manoroke, kily, nonoke, laro, talafoty",N,NA,0,Y,Y,N,NA,0,N,N,N,N,N,Y,N,"brown-grey bark, A60 painted on trunk (probably specimen number from Japanese researchers)"
05/07/23,8:42 AM,KVP,BF1,-22.05303,43.288,Ambalorao,grandidieri,9,9.5,5.35,N,"dirt, some limestone rock (much less than in AMB)","fanjihosy, fatipatike, sasave, lombiry, kantsakantsa",Y,kely,1,NA,Y,N,NA,0,N,N,N,N,N,Y,N,red brown bark
05/07/23,8:49 AM,"KVP, Christelle",BF2,-22.05307,43.28791,Ambalorao,grandidieri,6,9.5,5.17,N,"dirt, some limestone rock (much less than in AMB)","laro, lombiry, fajihosy",N,NA,0,NA,Y,N,NA,0,N,N,N,N,N,Y,N,"brown bark, laro is growing on top of the baobab (possibly from bird dispersal)"
05/07/23,8:54 AM,KVP,BF3,-22.0531,43.28783,Ambalorao,grandidieri,8,9.48,5.7,N,"dirt, some limestone rock (much less than in AMB)","komokomoke, laro, fatipatike, zaha, lombiry",Y,extensive (deep chunks taken out on bottom),3,NA,Y,Y,maro,3,N,N,N,N,N,Y,N,"bird feathers inside and nests on branch -- based on feather, bird is ramaro"
05/07/23,8:59 AM,KVP,BF4,-22.05301,43.28777,Ambalorao,grandidieri,7,9.4,4.09,N,"dirt, some limestone rock (much less than in AMB)","laro, lombiry, tsingilo, kantsakantsa, sasave",N,NA,0,NA,N,Y,maro,3,N,N,N,N,N,Y,N,right next to healthy tree (BF5)
05/07/23,8:59 AM,KVP,BF5,-22.05301,43.28777,Ambalorao,grandidieri,7,9.1,6.4,N,"dirt, some limestone rock (much less than in AMB)","laro, lombiry, tsingilo, kantsakantsa, sasave",Y,large chunk taken out (human can sit comfortably inside),3,NA,Y,N,NA,0,N,N,N,N,N,Y,N,"right next to marary tree (BF4), pic of me sitting in the hole"
05/07/23,9:09 AM,KVP,BF6,-22.05306,43.28769,Ambalorao,grandidieri,10,5.8,5.4,N,"dirt, some limestone rock (much less than in AMB)","sakoa, laro, vantango, boy",NA,NA,NA,NA,Y,N,NA,0,N,N,N,N,N,Y,N,"under tree observations, ""angalana"" (not sure what this means)"
